record_id,year,problem,aggregation_key,paper_id,award_group,file_path,extension,size_bytes,sha256,detected_format,format_status,naming_flags
paper:2021:C:C21104240047,2021,C,2021-C,C21104240047,star_nominee,papers/excellent_papers/2021年优秀论文/获数模之星提名奖/C21104240047.pdf,pdf,2814307,46e34e5c1a240356aa7f51458b95b037d85793d53b85cf0a1f8ad03522124c11,PDF,ok,
paper:2021:D:D21102800176,2021,D,2021-D,D21102800176,star_nominee,papers/excellent_papers/2021年优秀论文/获数模之星提名奖/D21102800176.pdf,pdf,6628129,f2ebfff348d4f8fecb5e6d7da00976eca2a1abbc6e4a17f506e1f5d2da00624f,PDF,ok,
paper:2021:D:D21103000002,2021,D,2021-D,D21103000002,star_nominee,papers/excellent_papers/2021年优秀论文/获数模之星提名奖/D21103000002.pdf,pdf,4093649,7b24dd86646cbdd48ce61d647602c40e3e58f98408d1b3bb454b21b11cb3b84e,PDF,ok,
paper:2021:E:E21103860005,2021,E,2021-E,E21103860005,star_nominee,papers/excellent_papers/2021年优秀论文/获数模之星提名奖/E21103860005.pdf,pdf,1898977,c05b8131f46d12efc842151f5e29ab16c3b723c017aa3ac785b34a6191daa394,PDF,ok,
paper:2021:E:E21104870136,2021,E,2021-E,E21104870136,star_nominee,papers/excellent_papers/2021年优秀论文/获数模之星提名奖/E21104870136.pdf,pdf,2429092,3a20e5cc482dc025afec8052675a30108e240793debf56d404a38a1f4e9094cf,PDF,ok,
paper:2022:C:C22103190082,2022,C,2022-C,C22103190082,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22103190082.pdf,pdf,2370799,a8df9e907b826b01a2c5dc7c1176b6e58dc0e92c70db183e8e56d2ba37719d5c,PDF,ok,
paper:2022:C:C22103360057,2022,C,2022-C,C22103360057,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22103360057.pdf,pdf,2146131,5837d7d5283d8cca31b171d3b97144e8b9945f3b059acd7bd0fd5d69421aeca7,PDF,ok,
paper:2022:C:C22103560098,2022,C,2022-C,C22103560098,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22103560098.pdf,pdf,1094236,560712b8aa46dc0b22c62a9de6f6961527e31d403ab921fc37f19db582bfa53b,PDF,ok,
paper:2022:C:C22105330245,2022,C,2022-C,C22105330245,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22105330245.pdf,pdf,2581721,c109ebf5fa9c8ebe5bf0a4c5afffb1d1a1b469a57f1c99b70cd2ee7809252f76,PDF,ok,
paper:2022:C:C22105930028,2022,C,2022-C,C22105930028,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22105930028.pdf,pdf,978801,8b44b3955a1d70bd8da21b5a5e0eec8cc4cd2e28295133b8d93262c8d0c6acde,PDF,ok,
paper:2022:C:C22106130232,2022,C,2022-C,C22106130232,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22106130232.pdf,pdf,1916405,050ba3aea273df80fbb7e1fec30cf98a9e05483115c3588cad5bb2129c33f6ae,PDF,ok,
paper:2022:C:C22106140003,2022,C,2022-C,C22106140003,excellent_paper,papers/excellent_papers/2022年优秀论文/C/C22106140003.pdf,pdf,1519988,5fa92336a1b190ea466679f9d286761aa8b3f9e69d6894e9bb2849890b6d76c3,PDF,ok,
paper:2022:D:D22102920026,2022,D,2022-D,D22102920026,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22102920026.pdf,pdf,1472009,e1e8632f2e10f0aeceeb759a2ad185f2e9e3cd0da49979a2d7f3c0e63e757dba,PDF,ok,
paper:2022:D:D22102930009,2022,D,2022-D,D22102930009,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22102930009.pdf,pdf,2148989,7dcd04bc43998ae2809ebf5ee4aee6cf46787ad43da050c3175321ad09ddd4ce,PDF,ok,
paper:2022:D:D22103360092,2022,D,2022-D,D22103360092,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22103360092.pdf,pdf,1601579,8d7c36f66d10ffe596558a9485b3f3e21d11e547f7d64862871366aea55f646a,PDF,ok,
paper:2022:D:D22104760020,2022,D,2022-D,D22104760020,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22104760020.pdf,pdf,2168810,e69dbf4920acd3a5acf085c3bec666c912ca80de3354034428139fd601c022fd,PDF,ok,
paper:2022:D:D22106990096,2022,D,2022-D,D22106990096,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22106990096.pdf,pdf,2667361,df2e78d06070723a3db87044bd797c75554e2575b19622acc6a97be312b15d2c,PDF,ok,
paper:2022:D:D22900310001,2022,D,2022-D,D22900310001,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22900310001.pdf,pdf,4155466,d2dcf699065312cdc2800192b2c04113327f1edde340aaf91e16e566929cfb26,PDF,ok,
paper:2022:D:D22910040028,2022,D,2022-D,D22910040028,excellent_paper,papers/excellent_papers/2022年优秀论文/D/D22910040028.pdf,pdf,1123171,7751354cf5ca70ae0677af0acb616e981ffbc832b6796fc5cac2ac1834363dee,PDF,ok,
paper:2022:E:E22100160013,2022,E,2022-E,E22100160013,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22100160013.pdf,pdf,2206321,ea0ba69ea7db84dfa92d7aebab66a4d76aafb61ea2aa1734116cab5d2a2114eb,PDF,ok,
paper:2022:E:E22103040108,2022,E,2022-E,E22103040108,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22103040108.pdf,pdf,5354013,84521bb3d18a2466df197a4907611024a14a59ca642c2beced3af45dd476145f,PDF,ok,
paper:2022:E:E22103350038,2022,E,2022-E,E22103350038,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22103350038.pdf,pdf,11935564,5c26affd748a07994f8922be235412906b5b338fddbd12576f5f76801aa0422d,PDF,ok,
paper:2022:E:E22104860014,2022,E,2022-E,E22104860014,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22104860014.pdf,pdf,10165824,3fe8db58775d13e7ec3c911330eaf4abf04613be289b70152ab698ad875f097c,PDF,ok,
paper:2022:E:E22104870114,2022,E,2022-E,E22104870114,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22104870114.pdf,pdf,2979204,4047c1a98e1a00243d7da769bc2559652c66ac885781b16ec35ec3ab33c9ab8d,PDF,ok,
paper:2022:E:E22106110005,2022,E,2022-E,E22106110005,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22106110005.pdf,pdf,2701398,c5d89a8d89358c8ce04f55b74943d994d6b5b606e562b5e55e8e69e5a3e765e7,PDF,ok,
paper:2022:E:E22107100039,2022,E,2022-E,E22107100039,excellent_paper,papers/excellent_papers/2022年优秀论文/E/E22107100039.pdf,pdf,3863049,6e3f56650ebc09a007fbd3917b0f82ddae5251842d511ac28a181aa1e4120ff6,PDF,ok,
paper:2023:C:C23102540029,2023,C,2023-C,C23102540029,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23102540029.pdf,pdf,3617240,feb372a7fb5a8688de384182401fe0f642da7763f50f74e7ee0a1a22b7641230,PDF,ok,
paper:2023:C:C23102890004,2023,C,2023-C,C23102890004,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23102890004.pdf,pdf,2029504,673a7f1386a6bcf5b57cdfbea26340d48d6c007d8d59c665ce3db9c88dbbc930,PDF,ok,
paper:2023:C:C23102980125,2023,C,2023-C,C23102980125,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23102980125.pdf,pdf,3315112,efe4b18e0137bc26cff4923090298201e2c6167a69d18d7b5de59ecfa0450c96,PDF,ok,
paper:2023:C:C23103360083,2023,C,2023-C,C23103360083,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23103360083.pdf,pdf,2351666,bc314e5321d42149caeb75ebd83cf6eb87915aa9542274a4f85d2ede4244c6ce,PDF,ok,
paper:2023:C:C23103510013,2023,C,2023-C,C23103510013,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23103510013.pdf,pdf,4070071,b1676f55c0cc281147aa0f6a983a77b410a8c841e5fcb9710fb8e5b663ff1050,PDF,ok,
paper:2023:C:C23104080013,2023,C,2023-C,C23104080013,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23104080013.pdf,pdf,4230286,6fbdbaff47ee945d88648fe8142239ad53bb18d94114de1158745ca3ea0d45f4,PDF,ok,
paper:2023:C:C23106130016,2023,C,2023-C,C23106130016,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23106130016.pdf,pdf,4993713,49b9b98f4a84aa5278363ad6d8e8cab1c0b0781e35a13d629e76f3fbe7fe3731,PDF,ok,
paper:2023:C:C23106570312,2023,C,2023-C,C23106570312,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23106570312.pdf,pdf,12405401,cef9478761aa1f7206f009a47fa96ca490f0780792f68d9a6a25f3ca1a752a09,PDF,ok,
paper:2023:C:C23107120024,2023,C,2023-C,C23107120024,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23107120024.pdf,pdf,6950584,1907bb2e271a72c879baac5c28f26dab75737893cdaaa96423801cef7278c5d8,PDF,ok,
paper:2023:C:C23910020010,2023,C,2023-C,C23910020010,excellent_paper,papers/excellent_papers/2023年优秀论文/C/C23910020010.pdf,pdf,3194081,8a00ec073b286676f359adc89ffb4095134b96d56ac7571525d66505b875aed2,PDF,ok,
